93,Mach 25 Pitch,Mach 25 Pitch,,Mach 25 Pitch,Mach 25 PitchMach 25 PitchMach 25 Pitch,,2025-03-21 00:00:00+00,2025-03-29 00:00:00+00,2025-03-15 00:00:00+00,NaN,,,,,,,,2025-03-25 14:44:37.701429+00,2025-04-17 14:35:04.726749+00,1,21,48,4,,,14,,Green                                                                                                                                                                                                                                                          ,f,14,16,15,https://www.adriannadeau.com,
107,New Product Line,Implement a brand new line of products,,We need to get into selling a new set of products in order to meet our revenue targets and exploit an adjacent market.,"Will need a new IT interface to new manufacturing machinery
New ordering and billing functionality.
Will be setting up a sales queue.",,,,,"140,000","1,200",,,,,,,2025-04-09 11:27:37.434458+00,2025-04-09 11:27:37.434458+00,3,53,51,1,,,23,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,20,41,44,,
136,Shoreline - small,Shoreline - small ,,experiment painting over the framed ones from Winners,small/medium sized framed art ,,,,,"4,500",15,0,,,,,,2025-06-04 22:06:09.007743+00,2025-06-04 22:06:09.007743+00,1,58,58,1,,,26,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,0,0,0,,
96,Networks in new building,Install networking equipment in new building,,"Network configuration in the new building is different, and will require new gear to provide reliable, networking, and Internet access to all tenants.",Getting description from Marilyn,,,,,0,0,0,,,,,,2025-03-25 16:13:19.439404+00,2025-03-25 16:13:19.439404+00,1,42,42,1,,,20,,,f,15,60,0,,
108,ITBUSPLAN26,IT Departmental Business Plan for 2026,,We need to subimit formal business plan to corporate with 2026 budget requirements.,"2026 Work Program
2026 Operational Budget",,2025-11-03 00:00:00+00,2025-12-31 00:00:00+00,,"25,000",100,0,,,,,,2025-04-09 11:41:32.904669+00,2025-04-09 11:41:32.904669+00,3,45,45,2,,,23,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,15,39,16,,
115,Ade Sponsor,Senior Application Developer at CGS,,Senior Application Developer at CGS,Senior Application Developer at CGS,,,,,10000,10000,0,,,,,,2025-05-18 17:03:22.373658+00,2025-06-11 19:13:37.48365+00,2,21,22,1,,,14,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,0,0,0,,
35,Cheddar,Creating,,I miss cheddar cheese and I can fix this problem myself.,Learn to make cheddar cheese. ,,,,,4000,32,,,,,,,2025-01-13 16:29:19.302622+00,2025-01-13 16:29:19.302622+00,1,39,39,1,,,18,,,f,12,,,,
137,SEL 2025,Senior Entrepreneurs in Leadership Program 2025,,Our seniors are a wealth of experience and knowledge and it is important that we continue to invest in their growth,"A facilitated peer leadership program for senior entrepreneurs.
Meeting on a monthly basis to share knowledge and experieinces.",,2025-01-01 00:00:00+00,2025-12-31 00:00:00+00,,"40,000",800,0,,,,,,2025-06-05 10:15:30.86664+00,2025-06-05 10:15:30.86664+00,3,55,61,4,,,25,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,15,73,53,https://www.bdc.ca/en/articles-tools/entrepreneurial-skills/be-effective-leader/7-key-leadership-skills-entrepreneurs,
53,Public Relations,Responding to Media and Public Inquiry,,We need to be prepared when media or the public takes interest in us to get our message out.,"Publish a Press Release
Prepare Key Messages
Take Interview, Podcast requests.",,2025-01-10 00:00:00+00,2025-12-31 00:00:00+00,2025-01-27 00:00:00+00,2000,20,0,,,,,,2025-01-27 13:16:56.481642+00,2025-06-06 10:44:29.42255+00,3,36,36,4,,,16,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Green                                                                                                                                                                                                                                                          ,f,14,20,0,https://3.basecamp.com/5458575/buckets/36101670/vaults/8251979204,
97,TEFR,System to record IT requests,,TEFR governs IT requests and ensures resources are spent in alignment with strategic initiatives.,"TEFR is accessible via the staff site. It allows anybody to make a request for IT resources and or services for things such as reports, software, hardware, or other related services. The process involves a review of the request by the department head, and if required leadership to ensure resources required are in alignment with strategic direction.",,2025-03-03 00:00:00+00,2025-05-05 00:00:00+00,2025-05-09 00:00:00+00,0,200,0,,,,,,2025-03-25 16:20:03.661389+00,2025-04-07 11:57:09.933207+00,3,42,49,4,,,20,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Green                                                                                                                                                                                                                                                          ,f,14,60,64,,
128,Youth Community K-6,Implement a new youth community program for K-6,,Younger kids need to be aware of the situation and have a managed community to share thoughts and ideas,Introduce an after school program that meets regularly with youth in the k-6 age group.,,2025-03-10 00:00:00+00,2026-06-30 00:00:00+00,2025-04-30 00:00:00+00,60000,"1,800",0,,,,,,2025-06-02 02:17:46.680671+00,2025-06-05 09:56:34.859119+00,3,55,59,3,,,25,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,14,73,49,https://socialsupportsnb.ca/en/category/help-youth,
46,OPS Budget,Implement an operational budget process,,#NAME?,#NAME?,,,,,25000,200,,,,,,,2025-01-21 23:53:33.4316+00,2025-01-21 23:53:33.4316+00,2,,34,1,,,15,,,f,14,,,,
109,InfraGrowth25,"Infrastructure (Server, Network, DASD, Cloud) Growth for 2025",,We need more capacity throughout the year as our business and transactions grow,"Add more Capacity for:
Servers
Network
DASD
Cloud",,2025-01-01 00:00:00+00,2025-12-31 00:00:00+00,,150000,500,0,,,,,,2025-04-12 13:48:28.276854+00,2025-05-01 00:58:43.296732+00,3,45,47,4,,,23,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Green                                                                                                                                                                                                                                                          ,f,20,38,46,,
98,Testing project2,,,,,,2025-05-30 00:00:00+00,2025-06-07 00:00:00+00,2025-05-30 00:00:00+00,0,,,,,,,,2025-03-25 19:05:38.686433+00,2025-05-14 16:52:22.05418+00,3,22,22,3,,,14,,green                                                                                                                                                                                                                                                          ,f,14,16,20,,
138,Training Service,New Training service for facilitators,,"We have a lot of experience facilitating sessions and programs.
We need to provide services that can bring in additional funding for programs.",Offer a fee for service training program to help people be better facilitators.,,,,,"40,000","1,000","100,000",,,,,,2025-06-05 10:19:20.14684+00,2025-06-05 10:19:20.14684+00,3,59,59,1,,,25,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,0,0,0,,
143,Recruiting Module,Upgrade the HRIS to include the new AI Recruiting Module,,"we have a large demand coming up next year for recruiting new production line employees.
there has been a significant rise in available workers so we will receive many applications and will not be able to process them all manually.","Upgrade the recruiting module in our HRIS to the latest AI enabled release.
Configure for our requirements.
Train HR on the use of the new tool",,,,,"25,000",240,,,,,,,2025-06-09 10:44:46.48949+00,2025-06-09 10:44:46.48949+00,3,53,47,1,,,23,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,20,39,45,https://www.phenom.com/blog/recruiting-ai-guide,
110,IT Transform,IT Transformation Program,,IT is critical to the future of our organization and we need to dramatically improve our capabilities,Undertake a business transformation program in the IT organization and how it interacts with the rest of the business.,,,,,150000,"1,500",,,,,,,2025-04-14 00:10:11.940017+00,2025-04-14 00:12:14.452604+00,3,45,45,1,,,23,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,14,38,44,https://docs.google.com/presentation/d/157IpiJ04ax7ramKs7psBcLHQngNYksS2oRW46Z_ZpnY/edit?slide=id.g12ee241ccf5_0_0#slide=id.g12ee241ccf5_0_0,
139,2025 Existing Program #1,2025 recurrence of an existing program offered by the organization ,,Because this constituants are very important to the organizations and are in need.,"this it the 4th year of this program
The group meets regularly and does great things",,2025-01-01 00:00:00+00,2025-12-31 00:00:00+00,,50000,"1,000",0,,,,,,2025-06-05 10:26:28.024669+00,2025-06-05 10:33:06.380582+00,3,55,61,4,,,25,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,15,73,48,,
129,AGM2025,2025 Annual General Meeting,,the AGM is a really great opportunity to showcase our impact and engage stakeholders.,Hold a public AGM session in a physical location,,2025-08-18 00:00:00+00,2025-09-30 00:00:00+00,2025-09-24 00:00:00+00,"5,000",100,0,,,,,,2025-06-02 13:11:54.715812+00,2025-06-02 13:11:54.715812+00,3,62,59,2,,,25,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,15,48,52,,
116,Commission for Phil,Phil Thailand Commission,,$1000 pricing gap used as deposit towards $3500 commission,$3500 commissioned painting inspired by their trip to Thailand. Size is TBD,,,,,6000,20,"3,500",,,,,,2025-05-20 15:16:38.052997+00,2025-06-04 16:06:28.024833+00,1,58,58,2,,,26,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,0,0,0,(google doc link),
58,TESTING BUG,TESTING BUG - HEADLINE,,TESTING - WHY!,TESTING - WHAT/1,,,,,0,30000,0,,,,,,2025-01-28 16:37:24.082305+00,2025-03-25 23:53:22.639907+00,2,22,23,6,,,14,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,0,0,0,,
84,PlantCTRL-R1,Plant Controller Refurbishment  Release 1,,Our manufacturing equipment is no longer safe or productive as it is analog.,"Move from antiquated analog plant controllers to digital software driven
Plant Module 1 first.",,2024-10-01 00:00:00+00,2025-01-31 00:00:00+00,,25000,125,0,,,,,,2025-03-10 21:24:22.076619+00,2025-05-09 11:14:35.331138+00,3,54,52,5,,,23,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,yellow                                                                                                                                                                                                                                                         ,f,14,40,44,https://www.infineon.com/dgdl/Infineon-AN2023-07_Assembly_Instructions_for_the_Easy_Modules-ApplicationNotes-v01_00-EN.pdf?fileId=db3a30431ed1d7b2011ef425e7c75c5c,
42,4yrrrertergg,Feeling Overwhelmed in  Your Business?k,,qwerqwerk,qwerqwerk,,,,,40000,"40,000","40,000",,,,,,2025-01-14 18:46:00.279094+00,2025-03-25 23:53:32.546982+00,1,22,22,6,,,14,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,0,20,0,,
111,Priority Pilot,Implement the Amazing Priority Pilot Application,,"We are overwhelmed by work, priorities and expectations with no process or tool to help.",Implement the Priority Pilot Application,,,,,2000,40,"10,000",,,,,,2025-04-14 14:56:56.239918+00,2025-05-16 13:25:08.19599+00,3,45,51,1,,,23,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,14,38,45,https://keep.google.com/u/0/#LIST/1gDPj6v37SB0hEKo1-I_GIE2zcUz33fSX0QaFMd_8FbSso_o7waDCYAWmdDs,
61,Text B2.0.0,Making sure that project add works,,"because it needs to work!
very fustrating when Add project loses data","making sure that why, whay, headline and the dates all work - because they did not before",,,,,50000,400,75000,,,,,,2025-01-30 20:22:50.69447+00,2025-06-26 14:06:16.067807+00,1,36,38,6,,,16,,,f,0,15,0,,
18,White label Odoo,White label Odoo,,White label Odoo,White label Odoo,,,,,10000,1000,"1,000,000",8,9,"Reframe, Forrest, Adrian",,,2024-11-22 18:30:11.734+00,2025-03-27 15:44:05.888971+00,3,21,22,5,,,14,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Green                                                                                                                                                                                                                                                          ,f,14,14,14,https://www.odoo.com,
